"i","psi_true","tmle_sl","tmle_se_sl","tmle_lower_sl","tmle_upper_sl","cvtmle_sl","cvtmle_se_sl","cvtmle_lower_sl","cvtmle_upper_sl","cvaiptw_sl","cvaiptw_se_sl","cvaiptw_lower_sl","cvaiptw_upper_sl","tmle_underhal","tmle_lower_underhal","tmle_upper_underhal"
238,0.1153,0.123320271215745,0.0281213857374119,0.068203367975059,0.17843717445643,0.115517384551006,0.0291282061233421,0.0584271496149963,0.172607619487015,0.120841950926944,0.769798461221242,0.073129347982606,0.168554553871282,0.124642322280779,0.0688884109179405,0.180396233643617
239,0.1153,0.123306606852911,0.0262538587795024,0.0718499891898852,0.174763224515936,0.118427549376363,0.0272200897310726,0.0650771538475118,0.171777944905214,0.120820453558472,0.734756997488254,0.0752797430378054,0.166361164079138,0.12583338891871,0.0740051377806338,0.177661640056787
240,0.1153,0.125320169248705,0.0273114918676733,0.0717906288240067,0.178849709673403,0.0989416196157419,0.0357646735452774,0.0288441475481659,0.169039091683318,0.126466985388177,0.823955385477194,0.0753977015021653,0.177536269274188,0.13002928443389,0.0755817570177849,0.184476811849995
241,0.1153,0.110934114892261,0.0281363445099395,0.0557878929961684,0.166080336788354,0.107566283762796,0.0284383984390163,0.0518280470443235,0.163304520481268,0.108890137763698,0.794720020421738,0.0596328805770013,0.158147394950396,0.109317965670956,0.0521417499935597,0.166494181348352
242,0.1153,0.0994173499661215,0.0317944071684016,0.0371014570062522,0.161733242925991,0.0917078450636033,0.0338194874973901,0.025422867593116,0.157992822534091,0.0975240114747282,0.920768161687425,0.0404542095519186,0.154593813397538,0.101231591239825,0.0364235517248084,0.166039630754841
243,0.1153,0.125579926239063,0.0293702886242337,0.0680152183200183,0.183144634158107,0.123140623231714,0.0305209777930926,0.0633206059843053,0.182960640479122,0.12048079706216,0.786128129628542,0.0717560707840162,0.169205523340304,0.132734781330542,0.073910389574538,0.191559173086546
244,0.1153,0.12344864511959,0.0269243159553182,0.0706779555387896,0.176219334700391,0.12201402428975,0.0269118947329301,0.0692676798574737,0.174760368722026,0.127375507502149,0.709782220520213,0.0833827496952474,0.17136826530905,0.13041551093264,0.0798785544087147,0.180952467456566
245,0.1153,0.0907980048575909,0.0264489285250885,0.0389590575187434,0.142636952196438,0.0898275866765064,0.0266753631070954,0.0375448357120709,0.142110337640942,0.0936592989192576,0.765482664947507,0.0462141917993083,0.141104406039207,0.100316085899343,0.051299440593168,0.149332731205518
246,0.1153,0.115647042082272,0.0311111325046049,0.0546703428549934,0.176623741309551,0.096692531444053,0.0358873579737276,0.0263546023152505,0.167030460572855,0.104768175994862,0.924525062595966,0.0474655189412869,0.162070833048436,0.114126876223437,0.0493455619289457,0.178908190517929
247,0.1153,0.0838645013116251,0.0281691715553258,0.0286539395888564,0.139075063034394,0.080308235785034,0.0289765342500714,0.0235152722581027,0.137101199311965,0.0856243890240545,0.826108120210592,0.0344216772569118,0.136827100791197,0.086891110997925,0.0320100691926869,0.141772152803163
248,0.1153,0.144082036642055,0.027598645959705,0.0899896845389616,0.198174388745149,0.134919300606844,0.0273340490580397,0.0813455489014354,0.188493052312253,0.139745081812535,0.73021618031949,0.0944858140558255,0.185004349569244,0.14575577446481,0.0949418925778192,0.196569656351801
249,0.1153,0.122995310724291,0.0292867292171618,0.0655943762336772,0.180396245214905,0.102833835127635,0.0339102333466745,0.0363709990608041,0.169296671194466,0.11991371375583,0.812537323795737,0.0695521286648219,0.170275298846838,0.125911270074793,0.0700473473136112,0.181775192835974
250,0.1153,0.131180446659808,0.0268746189601209,0.0785071613997334,0.183853731919882,0.123470508459208,0.0283930798634083,0.0678210945167587,0.179119922401658,0.125501676859734,0.783294647338984,0.0769525716333874,0.174050782086081,0.129295705841818,0.0750414121752494,0.183549999508387
251,0.1153,0.119235147289112,0.0264783467477395,0.0673385412933789,0.171131753284844,0.11400467936582,0.0270811467611917,0.0609266070538405,0.167082751677799,0.114003490414789,0.745472009010392,0.0677986565994507,0.160208324230127,0.114315548703665,0.0517711688343626,0.176859928572968
252,0.1153,0.132085820596028,0.0274080906294926,0.0783669500772126,0.185804691114843,0.12475947729318,0.0284673350745634,0.068964525811202,0.180554428775158,0.131831838730566,0.761701482911996,0.0846210917012229,0.179042585759908,0.136052195909256,0.0822194253341596,0.189884966484353
253,0.1153,0.136398990311595,0.0299953813652183,0.0776091231332234,0.195188857489967,0.123249162296043,0.0315373529455388,0.0614370863550587,0.185061238237027,0.135472973603613,0.8122253161338,0.0851307269478436,0.185815220259382,0.138144705442493,0.0780584177938181,0.198230993091167
254,0.1153,0.127651505909539,0.0247971728567026,0.0790499401919873,0.17625307162709,0.116274148025236,0.026878345057529,0.0635935597484392,0.168954736302033,0.124567696603533,0.727291971130649,0.0794896732100978,0.169645719996968,0.128300031251402,0.0792372355135689,0.177362826989235
255,0.1153,0.0925092784200443,0.0281050060998771,0.0374244786790067,0.147594078161082,0.0914817822483875,0.0280422615119601,0.036519959639892,0.146443604856883,0.0958655268319727,0.80640075473966,0.0458842902315922,0.145846763432353,0.100801820838108,0.0477834703291771,0.153820171347038
256,0.1153,0.105278226965293,0.0251464144398044,0.0559921603229585,0.154564293607628,0.0993787622286511,0.0258788073456454,0.0486572318683355,0.150100292588967,0.103608811914856,0.709989328011518,0.0596032174526519,0.14761440637706,0.108099080715072,0.0596766246653644,0.156521536764779
257,0.1153,0.138807013205038,0.0262926819461103,0.087274303533695,0.19033972287638,0.133720072998799,0.0257181420202471,0.0833134408898287,0.18412670510777,0.136532013357769,0.705293365326297,0.0928174776782568,0.180246549037281,0.135106603273516,0.0836588671696242,0.186554339377408
258,0.1153,0.158828208613742,0.0243966230367809,0.111011706117251,0.206644711110233,0.146013786836446,0.026470039385385,0.0941334629717347,0.197894110701157,0.155294195359152,0.674704499387366,0.113475577232848,0.197112813485456,0.163527268570608,0.113886525871508,0.213168011269707
259,0.1153,0.12230933846613,0.0273873740617319,0.0686310716740091,0.175987605258251,0.112339699938768,0.0289489873524871,0.0556007273389879,0.169078672538548,0.116016761705292,0.801719721502563,0.0663256585508225,0.165707864859762,0.12598408929968,0.073134829838786,0.178833348760575
260,0.1153,0.148450492466373,0.0273214780622472,0.0949013794599675,0.201999605472779,0.139910177398146,0.0278715332812767,0.0852829759729346,0.194537378823358,0.143571866484656,0.761632875827483,0.0963653717664662,0.190778361202845,0.141323451027021,0.0870723127003439,0.195574589353698
261,0.1153,0.093889647528623,0.0307989637574345,0.033524787802897,0.154254507254349,0.0928134787474968,0.0308939516871792,0.0322624461005052,0.153364511394488,0.100168960334447,0.860900816343408,0.046809774919235,0.153528145749659,0.107651857638239,0.0498807944134287,0.165422920863049
