"i","psi_true","tmle_sl","epsilon_sl","tmle_se_sl","tmle_lower_sl","tmle_upper_sl","cvtmle_sl","cvtmle_se_sl","cvtmle_lower_sl","cvtmle_upper_sl","cvaiptw_sl","cvaiptw_se_sl","cvaiptw_lower_sl","cvaiptw_upper_sl","tmle_underhal","epsilon_underhal","tmle_lower_underhal","tmle_upper_underhal"
13,0.1153,0.0921497881532815,0.03895460664898,0.0368478670052347,0.0199292959158997,0.164370280390663,0.0822018979977018,0.0385287298519653,0.0066869751177767,0.157716820877627,0.0859266077268294,0.779884625216917,0.017566706292424,0.154286509161235,0.0955365756043859,0.0410416608015411,0.0252982642031769,0.165774887005595
14,0.1153,0.106956121382278,0.0452582954313481,0.0360409114930891,0.036317232885828,0.177595009878729,0.0809720346072254,0.0410120265152375,0.000589939704358111,0.161354129510093,0.087350557232755,0.792619896933799,0.0178743600141312,0.156826754451379,0.0974930095425385,0.0408191071986787,0.025318832786636,0.169667186298441
15,0.1153,0.0748315462282016,0.0278774943863427,0.0411720699796317,-0.00586422810083929,0.155527320557242,0.0686323032745331,0.0424980927534768,-0.0146624279339242,0.15192703448299,0.0713587303477872,0.865995842164847,-0.00454915204767366,0.147266612743248,0.0888451749371206,0.0327982857162072,0.0100461548645538,0.167644195009687
16,0.1153,0.157208124085204,0.0734318066047485,0.0358120360333789,0.0870178232467307,0.227398424923677,0.11998500592635,0.0399831517986096,0.0416194684126771,0.198350543440022,0.131094859421192,0.764193720819815,0.0641103263981132,0.198079392444271,0.127758032991482,0.0578993057212102,0.0491457918236315,0.206370274159332
17,0.1153,0.106316082748569,0.0529586342185695,0.0418385351064205,0.0243140607740701,0.188318104723068,0.0974301011568544,0.0409657045780234,0.017138795582621,0.177721406731088,0.107039938260302,0.795298151553209,0.0373289816735877,0.176750894847015,0.116750062072749,0.0597311156512442,0.0422326914833211,0.191267432662177
18,0.1153,0.119691940574096,0.05449525457029,0.0361395464553828,0.0488597311039338,0.190524150044258,0.11993768305726,0.0357141510446737,0.0499392332712758,0.189936132843244,0.116925568030228,0.696781146307402,0.0558500076937515,0.178001128366704,0.117641791951693,0.0529745193667839,0.0444217959737939,0.190861787929593
19,0.1153,0.0933625699414665,0.0430622962597138,0.032958629028246,0.028764844066288,0.157960295816645,0.083554205535619,0.0347820674652074,0.0153826059959701,0.151725805075268,0.0879518689043386,0.725024680367087,0.0244006536542367,0.15150308415444,0.0924632081898343,0.0439276613304569,0.0298908454771485,0.15503557090252
20,0.1153,0.110688548660687,0.0508256477186638,0.0370602447015577,0.0380518037873928,0.183325293533981,0.0949540096675669,0.039107641838673,0.0183044401434761,0.171603579191658,0.103672840795329,0.776522898467526,0.0356076077026338,0.171738073888024,0.110094413675742,0.0509607603874446,0.0408752727973515,0.179313554554132
21,0.1153,0.0688816131258657,0.0268148913051117,0.0461203634684767,-0.0215126382262454,0.159275864477977,0.0522600498840175,0.0483035988392166,-0.0424132641645178,0.146933363932553,0.0585206388643212,0.963738085812735,-0.0259547289330846,0.142996006661727,0.0827344447102093,0.0337458441523744,-0.00279739635708891,0.168266285777508
22,0.1153,0.125959294938201,0.0570059203004059,0.0384320557366644,0.0506338498425031,0.2012847400339,0.118646492168778,0.0398676533618843,0.0405073274313578,0.196785656906198,0.125497039077832,0.783897824428425,0.0567853652226545,0.194208712933009,0.133935744856057,0.0606453969519599,0.0604709564689549,0.20740053324316
23,0.1153,0.121167171120458,0.051888323955351,0.0386730275936455,0.0453694298637896,0.196964912377127,0.110517864020643,0.0414745649567415,0.0292292104309621,0.191806517610323,0.117809333753308,0.778424667164524,0.0495774032845207,0.186041264222095,0.122846153922162,0.052504483546868,0.0421782277476641,0.20351408009666
24,0.1153,0.115868888434002,0.0482663736799229,0.0351545251006931,0.0469672853430346,0.18477049152497,0.0838340725028827,0.0391834096425237,0.00703600081205688,0.160632144193709,0.0936430041865269,0.782477893411901,0.025055792772581,0.162230215600473,0.0904391032163319,0.0380192469368998,0.0168751526053473,0.164003053827316
25,0.1153,0.12574677028482,0.0596127007374873,0.0420566344415168,0.0433172814684802,0.20817625910116,0.115622788593894,0.0432587624684905,0.0308371721398792,0.200408405047908,0.134152892823939,0.803448423462098,0.0637275334059081,0.204578252241969,0.130063716656866,0.0631087814887022,0.0476911900014119,0.21243624331232
26,0.1153,0.123119723634123,0.053960779201209,0.0436319063349788,0.0376027586407397,0.208636688627507,0.0852225131343896,0.0511077539293285,-0.0149468438978297,0.185391870166609,0.109227398638455,0.980202808674347,0.0233088342507178,0.195145963026191,0.138479042587937,0.0611964045486668,0.0603267502594963,0.216631334916378
27,0.1153,0.136620224621688,0.0475790426946752,0.0345755576888346,0.0688533768061857,0.204387072437191,0.119756637830684,0.0367630231289431,0.0477024365351427,0.191810839126226,0.128452848386883,0.709531479987371,0.0662596720269135,0.190646024746852,0.139309886358854,0.0487532336050693,0.070104303329262,0.208515469388446
28,0.1153,0.119095531896139,0.0505531378403382,0.0408811767944888,0.0389698977333263,0.199221166058952,0.109412628456643,0.0422614021760684,0.0265818022553863,0.1922434546579,0.119579939412666,0.820648461052522,0.0476469302265398,0.191512948598792,0.124978478343668,0.052599728552126,0.0473003167295523,0.202656639957784
29,0.1153,0.14667448556193,0.077449854999114,0.0345565320376296,0.0789449273375713,0.214404043786288,0.142699767855189,0.0344972107159638,0.0750864772848107,0.210313058425567,0.149039624919131,0.689157404758197,0.0886323149930539,0.209446934845208,0.148944214988951,0.0786022643421901,0.0827135303153619,0.215174899662539
30,0.1153,0.190006029519776,0.0744419403522649,0.0377095066339599,0.116096754642441,0.263915304397112,0.195141050407061,0.0373067025551359,0.122021257017046,0.268260843797076,0.199600315111923,0.664519673104521,0.141352597583175,0.257848032640671,0.197928961373686,0.0787597516302958,0.127577327368483,0.268280595378889
31,0.1153,0.137011839994273,0.061453293195575,0.0346890837546157,0.0690224851785327,0.205001194810013,0.12940367284874,0.0365115120716864,0.0578424241671349,0.200964921530344,0.134544446089918,0.720541817077475,0.0713861711321525,0.197702721047682,0.14081967516291,0.0628567854066396,0.071895215391269,0.209744134934552
32,0.1153,0.124195592644748,0.0532619335117765,0.0366018244255634,0.0524573350021854,0.195933850287311,0.0626654634580833,0.0528046095576157,-0.0408296694925429,0.16616059640871,0.137078441579696,1.06141015703682,0.0440417392644881,0.230115143894905,0.132619917385434,0.0537899271812543,0.0587853002902634,0.206454534480605
33,0.1153,0.136372304815704,0.0539213225877905,0.0381248177362179,0.0616490351355629,0.211095574495845,0.0955640082582252,0.0526799108310795,-0.00768671967947214,0.198814736195923,0.151103310216132,0.804286583900746,0.0806044827964,0.221602137635863,0.137793657017809,0.0530969544025309,0.0581169475744174,0.217470366461201
34,0.1153,0.123673194373656,0.0546679668780036,0.0348562477023655,0.0553562042408123,0.191990184506499,0.1158478783299,0.0373374912736833,0.042667740160402,0.189028016499398,0.123291608081374,0.744095803512835,0.0580687351830344,0.188514480979713,0.13583317008438,0.060394201199374,0.0699579835088462,0.201708356659913
35,0.1153,0.0899485796041929,0.0415754558296557,0.0373961526711193,0.0166534672084378,0.163243691999948,0.0439698073137656,0.0537068437541708,-0.061293672167729,0.14923328679526,0.0803936085847811,0.842070768653294,0.00658285134626986,0.154204365823292,0.0999365268513378,0.0467011879033921,0.0285628575441897,0.171310196158486
36,0.1153,0.132343811159125,0.0492983645196296,0.0396815439077989,0.0545694142488947,0.210118208069356,0.091632266804039,0.0479397742384939,-0.00232796413039002,0.185592497738468,0.109576850312354,0.896900016620965,0.0309600975898958,0.188193603034813,0.127397711688954,0.0519037325514173,0.0482086177322514,0.206586805645657
37,0.1153,0.139430992335299,0.0647829456904387,0.039986364866206,0.0610591573248575,0.217802827345741,0.130286220358032,0.0418381226241898,0.0482850068338498,0.212287433882215,0.142883281151018,0.832152892983187,0.0699418640447842,0.215824698257252,0.138384454470186,0.0638141909037938,0.0561359983136572,0.220632910626715
38,0.1153,0.12041974083958,0.0469381291316747,0.040557791016496,0.0409279311547462,0.199911550524415,0.107891599730456,0.0432094473702779,0.0232026390928324,0.19258056036808,0.114215394000455,0.826565202314714,0.0417637595761615,0.186667028424748,0.125029570633487,0.0484112796343721,0.0419083791184252,0.208150762148549
39,0.1153,0.104732826272056,0.0419523835423382,0.0401736394914762,0.0259939397408669,0.183471712803246,0.0757764332865953,0.0511749566739693,-0.0245246387047822,0.176077505277973,0.0929204506027078,0.907407765073844,0.0133826531188698,0.172458248086546,0.112021835011388,0.0451944845986456,0.0352599505526233,0.188783719470153
40,0.1153,0.0502599197486706,0.0174271780907798,0.0480316884713837,-0.0438804597718892,0.14440029926923,0.0229464494763606,0.0506113100745324,-0.0762498954801122,0.122142794432833,0.0403063721501697,1.0038529013145,-0.0476852142584148,0.128297958558754,0.0574727297321488,0.020282091478649,-0.0280514367287211,0.142996896193019
41,0.1153,0.120713621167138,0.0485794009652267,0.0453472472501902,0.0318346497587325,0.209592592575544,0.121991532340275,0.0489690183976148,0.0260140199226712,0.21796904475788,0.129370938915272,0.911039700923515,0.0495147882178024,0.209227089612741,0.128178426259286,0.0532152755078023,0.0404398898830803,0.215916962635491
42,0.1153,0.122902149804724,0.0443890855615075,0.035004260904967,0.0542950591255452,0.191509240483903,0.10239338142444,0.0391330069621108,0.0256940971719478,0.179092665676933,0.0966877547162054,0.734216359682681,0.0323308532508433,0.161044656181567,0.143217514375875,0.0507511073377234,0.0748294432624669,0.211605585489283
43,0.1153,0.165348809836143,0.0664339714135169,0.0364660318429889,0.0938767007647936,0.236820918907492,0.145835541661785,0.040374992853473,0.0667020097929159,0.224969073530654,0.15784754277037,0.704795271891982,0.0960695133540704,0.21962557218667,0.171417337515008,0.0706457914189973,0.103352487714855,0.239482187315161
