"i","psi_true","tmle_sl","epsilon_sl","tmle_se_sl","tmle_lower_sl","tmle_upper_sl","cvtmle_sl","cvtmle_se_sl","cvtmle_lower_sl","cvtmle_upper_sl","cvaiptw_sl","cvaiptw_se_sl","cvaiptw_lower_sl","cvaiptw_upper_sl","tmle_underhal","epsilon_underhal","tmle_lower_underhal","tmle_upper_underhal"
14,0.1153,0.114672323244355,-0.00250918631641332,0.0167719892958416,0.0817998282754137,0.147544818213295,0.114516681123122,0.0172112434214776,0.0807832638878741,0.14825009835837,0.114327133380563,0.544512365683802,0.0805779073026912,0.148076359458434,0.113895290024947,-0.00155340644810249,0.0815034989436061,0.146287081106289
15,0.1153,0.131944978782344,0.005245647836354,0.017732027133972,0.097190844226872,0.166699113337816,0.128984944678758,0.018262309652614,0.0931914754851161,0.164778413872399,0.129147991114785,0.577711240786582,0.0933410774397409,0.164954904789829,0.131930363146805,0.0012083070729207,0.0973429963153253,0.166517729978284
16,0.1153,0.0972063787722046,-0.0139571294666945,0.0178017356183145,0.0623156180980044,0.132097139446405,0.0977658209696653,0.0179796883911242,0.062526279269809,0.133005362669522,0.0976894228621239,0.571068551312005,0.0622942273462459,0.133084618378002,0.0985210275513937,-0.00187484855215374,0.064094373863298,0.132947681239489
17,0.1153,0.11972007706104,-0.00219770698588258,0.017810869782321,0.0848114137543584,0.154628740367722,0.118105108125389,0.0183580144895923,0.0821240608981235,0.154086155352654,0.117773163351942,0.580930728098744,0.0817667037859302,0.153779622917953,0.120630409086156,-4.76448124239542e-05,0.0866577093170941,0.154603108855219
18,0.1153,0.105782282330881,0.00199361429971745,0.0186044645837793,0.0693182017950226,0.142246362866739,0.109035492654538,0.021402946768694,0.0670864878248701,0.150984497484207,0.110313774894281,0.678690337314923,0.0682481119737639,0.152379437814798,0.110345205882002,0.00130409794997952,0.0737060999612336,0.146984311802771
19,0.1153,0.0899455792569845,0.000287163339481546,0.0182596278901825,0.0541573662211238,0.125733792292845,0.0897594069995794,0.0197145428188897,0.0511196131028828,0.128399200896276,0.0898252989367859,0.622738699234703,0.0512275544732265,0.128423043400345,0.0886058771472956,-0.00120878307489685,0.0522556094717375,0.124956144822854
20,0.1153,0.134887144737318,-0.00329620766975211,0.0212306349983097,0.0932758647717157,0.176498424702921,0.126976376395689,0.0255360698179847,0.0769265992457386,0.177026153545639,0.126156719418239,0.815961554978478,0.0755828982796912,0.176730540556787,0.136731913787121,-0.00218106515654197,0.0984187490785745,0.175045078495667
21,0.1153,0.132200247498706,0.00292102235233025,0.0172528328891632,0.0983853164046577,0.166015178592754,0.132135590095452,0.0179942075296025,0.0968675914070921,0.167403588783813,0.132622201930305,0.568390597447922,0.0973929877145422,0.167851416146068,0.132295275140318,-0.000125430805367211,0.0990532916356823,0.165537258644955
22,0.1153,0.106364261728568,-0.011147195793268,0.0168843084597281,0.0732716252436357,0.1394568982135,0.108626196269823,0.0172447669647586,0.0748270740971095,0.142425318442536,0.108326707615455,0.545965053092144,0.0744874430391868,0.142165972191723,0.108539115081777,-0.000935715584602821,0.0757665464876673,0.141311683675886
23,0.1153,0.132628176504047,0.00509548884128683,0.0174750827549416,0.0983776436775049,0.16687870933059,0.135032008421123,0.0179253671345958,0.0998989344276571,0.170165082414588,0.135604908532978,0.568246839483513,0.100384604528162,0.170825212537794,0.13261581517136,-0.000684182080307406,0.0994345527622765,0.165797077580443
