"i","psi_true","tmle_sl","tmle_se_sl","tmle_lower_sl","tmle_upper_sl","cvtmle_sl","cvtmle_se_sl","cvtmle_lower_sl","cvtmle_upper_sl","cvaiptw_sl","cvaiptw_se_sl","cvaiptw_lower_sl","cvaiptw_upper_sl","tmle_hal","tmle_se_hal","tmle_lower_hal","tmle_upper_hal","cvtmle_hal","cvtmle_se_hal","cvtmle_lower_hal","cvtmle_upper_hal","cvaiptw_hal","cvaiptw_se_hal","cvaiptw_lower_hal","cvaiptw_upper_hal","tmle_hal2","tmle_lower_hal2","tmle_upper_hal2","tmle_lower_boot","tmle_upper_boot","tmle_lower_pl","tmle_upper_pl"
11,0.1153,0.131814744035986,0.0246875355702224,0.0834280634512991,0.180201424620674,0.13185137956008,0.0253622052638318,0.0821423706744573,0.181560388445702,0.133827318660116,0.570289623917428,0.0838392291151832,0.183815408205048,0.129756893234104,0.0224628830853946,0.0857304513977969,0.173783335070412,0.126619405459046,0.0261023700216801,0.0754597003054146,0.177779110612677,0.126545951848104,0.583854440931041,0.0753688536677359,0.177723050028472,0.1310670606129,0.0877924883537851,0.174341632872015,0.0847529572985254,0.185017811378336,-0.110591997647736,0.382986529548733
12,0.1153,0.05725295142558,0.0251635722087358,0.00793325617408489,0.106572646677075,0.0638718063226189,0.03146352613251,0.00220442827626445,0.125539184368973,0.0520435027292828,0.623740185064128,-0.00262973507150341,0.106716740530069,0.0578526814933551,0.0220786695917441,0.0145792842669771,0.101126078719733,0.0586248057059241,0.0250046951079463,0.00961650384994447,0.107633107561904,0.0585238545203869,0.559514291894606,0.00948026447087415,0.1075674445699,0.0568533648720538,0.0136693242174009,0.100037405526707,0.0207036609365148,0.0958164034256468,-0.0767968924205115,0.163528032563197
13,0.1153,0.147780350255545,0.0234336155316339,0.101851307785985,0.193709392725106,0.148367649121169,0.0263408595762158,0.0967405130299586,0.199994785212379,0.15258287130982,0.599420720531278,0.10004132856321,0.205124414056429,0.147427712744742,0.0218443397837022,0.104613593502631,0.190241831986854,0.158240569985517,0.0255155565903939,0.108230998022851,0.208250141948182,0.158251549201221,0.569835220339279,0.108303289886054,0.208199808516387,0.1477983774447,0.10496655060634,0.19063020428306,0.109973110455475,0.205093432259003,-0.0863644624239868,0.354229661815216
14,0.1153,0.11782621753077,0.0243673633313012,0.0700670630032177,0.165585372058322,0.119769758132028,0.0258005738129218,0.0692015626782344,0.170337953585822,0.12095654942368,0.578203494082928,0.0702747785738649,0.171638320273495,0.130080723750155,0.022704585849678,0.0855805532008878,0.174580894299421,0.13009949164951,0.0249961824487211,0.0811078742990243,0.179091108999995,0.13004429365509,0.559098548372231,0.081037145132045,0.179051442178135,0.126191706643996,0.0824714032822239,0.169912010005769,0.0788812619255295,0.169673382111844,-0.136225419893488,0.387296165090544
15,0.1153,0.133028672242744,0.0232377947011771,0.0874834315483015,0.178573912937187,0.130854542059632,0.0238590329523469,0.0840916967670774,0.177617387352186,0.131102863042652,0.533702222995419,0.0843218005885202,0.177883925496784,0.138106121696419,0.0221112736224177,0.0947688217441702,0.181443421648668,0.144578009885592,0.0251136476612898,0.0953561649490352,0.193799854822148,0.145513506524078,0.561826602925374,0.0962672334762882,0.194759779571867,0.138125999188974,0.094914698415111,0.181337299962837,0.0991781601879466,0.1916389475989,-0.136112609228456,0.333730173837106
16,0.1153,0.123742272263548,0.0254694013591272,0.0738231628918636,0.173661381635233,0.122212546532151,0.0264444842464675,0.0703823098193381,0.174042783244964,0.122572708734971,0.592108350348111,0.0706721234951646,0.174473293974778,0.128036962490511,0.0228542735666484,0.0832434094070548,0.172830515573968,0.136423823086925,0.0262170078294119,0.0850394319588732,0.187808214214977,0.136888844079526,0.586236189117589,0.0855029764658222,0.188274711693231,0.129445161467194,0.0854378834702143,0.173452439464173,0.0898508228932502,0.190834661649258,-0.183454529498978,0.368227047474934
17,0.1153,0.102383688040323,0.0234657149126707,0.0563917319400038,0.148375644140642,0.0920270789571857,0.0256776947508017,0.0416997220396012,0.14235443587477,0.0917633166935536,0.574347076933363,0.0414195757108627,0.142107057676245,0.100084824366422,0.0214503598538806,0.0580428915973917,0.142126757135451,0.0970170075153123,0.024636175362273,0.0487309910884443,0.14530302394218,0.096048651325371,0.551387301947349,0.0477174233532596,0.144379879297482,0.100556298239636,0.0585002040763818,0.14261239240289,0.0579155697735666,0.16207513016539,-0.113325624037151,0.326430325772701
18,0.1153,0.149023650016358,0.0259103362990793,0.0982403240428415,0.199806975989874,0.137255467951302,0.030813009227406,0.0768630796102854,0.197647856292318,0.140066014485963,0.676322327553515,0.0807837486808297,0.199348280291096,0.14767608902528,0.0225076680529539,0.103561870265507,0.191790307785052,0.141566060859626,0.0263868878020136,0.0898487111035802,0.193283410615672,0.141368207748509,0.590737697965995,0.0895877654871793,0.193148650009838,0.148209141442063,0.104207636379274,0.192210646504853,0.108706494936128,0.194411114203752,-0.161668718876066,0.408837206004766
19,0.1153,0.11756318222451,0.0246844943228607,0.0691824623751197,0.1659439020739,0.114757788808225,0.0260251525083359,0.0637494271997247,0.165766150416726,0.114840368330457,0.582342668845365,0.0637957828159713,0.165884953844943,0.126209642848419,0.0229535541022929,0.0812215034907331,0.171197782206104,0.122195164845455,0.0260982361377578,0.0710435619554278,0.173346767735482,0.122405767207884,0.582896295585677,0.0713126541699989,0.17349888024577,0.125283677368378,0.0809149995777362,0.169652355159019,0.0760878272939877,0.173160324396359,-0.132925995483737,0.376718437535311
20,0.1153,0.115623193012611,0.02653591880883,0.0636137478506256,0.167632638174597,0.112697850588908,0.029167246289762,0.0555310983327656,0.169864602845051,0.112624184430405,0.652352473153071,0.0554429690001987,0.169805399860612,0.125479444800286,0.0233672345113992,0.0796805067396425,0.17127838286093,0.132850089522528,0.0272429480270836,0.0794548925567474,0.186245286488308,0.132921817079301,0.608832110513295,0.0795553296283992,0.186288304530203,0.125854493600603,0.0800437219103835,0.171665265290823,0.0814781770143711,0.178085743700827,-0.116297087854739,0.358946548562351
21,0.1153,0.0766120834431016,0.0232405693360536,0.0310614045642305,0.122162762321973,0.0797633950631808,0.0239485434118475,0.0328251124937657,0.126701677632596,0.0797640834404106,0.535507142690295,0.0328248127995173,0.126703354081304,0.0898775606929304,0.0214718546379197,0.0477934989213285,0.131961622464532,0.0865917340245001,0.0240370578094459,0.0394799664236788,0.133703501625321,0.0865089279593324,0.53771635692752,0.0393760111525562,0.133641844766109,0.0880264248464485,0.0457511967795302,0.130301652913367,0.0513663918684588,0.121952586597758,-0.0694232019560204,0.249370250258988
22,0.1153,0.12764107297773,0.0249523465195815,0.0787353724695868,0.176546773485873,0.124883844008304,0.0280192192936365,0.0699671833178465,0.179800504698761,0.139454964457635,0.694678236078772,0.0785637323298536,0.200346196585417,0.136359195306567,0.0220328998664753,0.0931755050932977,0.179542885519836,0.134372484655872,0.024769306767599,0.0858255354693536,0.18291943384239,0.134265410196039,0.554606854979776,0.0856519759579707,0.182878844434107,0.136178167550695,0.0924968859244956,0.179859449176895,0.102195165374662,0.17946197618496,-0.157467968488339,0.408794434646295
23,0.1153,0.136050938679572,0.026269331068562,0.0845639958872317,0.187537881471913,0.133922000106226,0.027608749428532,0.0798098455681129,0.18803415464434,0.134441899247366,0.617797226295149,0.0802895847505408,0.188594213744192,0.139907582064332,0.024308237628907,0.0922643117840331,0.187550852344631,0.138293834986926,0.0277032706472671,0.0839964222643172,0.192591247709535,0.138174239705122,0.619836056099344,0.0838432138964561,0.192505265513787,0.140871266858407,0.0947003864674303,0.187042147249385,0.104604547903122,0.189674785126891,-0.144776419370915,0.444212820343804
